edh_person_id,name,praenomen,nomen,cognomen,supernomen,gender,age,tribus,status,religion,occupation,edh_inscription_id,inscription_text,inscription_type,not_before,not_after,origo,origo_clean,auto_origo_geo,origo_pleiades_id,origo_pleiades_name,origo_certainty,manual_check_certainty,manual_check_notes,origo_geo_source_url,origo_geometry,findspot_name,findspot_ancient,findspot_modern,findspot_geometry,X1BCE,X1CE,X2CE,X3CE,X4CE,X5CE,X__index_level_0__,origo_line
HD005881/1,Valerius Lucis,NA,Valerius,Lucius*,NA,male,NA,NA,military personnel,NA,NA,HD005881,Valerius Lucius centirion legionis IIII Flaviae Macedon stupendihoron X fecit dulcissimo frater Limenius,epitaph,301,450,Macedon,Macedonia,FALSE,981531,Macedonia (Roman province),certain,,,nan,POINT (22.5 42.5),NULL,Comum,Como,POINT (9.0855 45.812),FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,268,"c(22.5, 9.0855, 42.5, 45.812)"
HD005920/6,Herae Serapionis f. Antioc.,NA,NA,Hera,NA,male,NA,NA,military personnel,names of pagan deities,NA,HD005920,Imperator Caesar Vespasianus Augustus pontifex maximus tribunicia potestate VI imperator XIIII pater patriae censor consul VI designatus VII peditibus et equitibus qui militant in cohortibus decem quae appellantur I Antiochensium et I Sugambrorum veterana et I Raetorum et I Lusitanorum et III et IV et V et VII et VIII Gallorum et Cisipadensium et sunt in Moesia sub Sexto Vettuleno Ceriale qui quina et vicena stipendia aut plura meruerant quorum nomina subscripta sunt ipsis liberis posteris que eorum civitatem dedit et conubium cum uxoribus quas tunc habuissent cum est civitas iis data aut si qui caelibes essent cum iis quas postea duxissent dumtaxat singuli singulas ante diem IIII Kalendas Maias Caesare Augusti filio Domitiano III Lucio Pasidieno Firmo consulibus cohortis I Raetorum cui praeest Caius Quintius Laberius Tutor Sabinianus pediti Herae Serapionis filio Antiochia descriptum et recognitum ex tabula aenea quae fixa est Romae in Capitolio post piscinam in tribunali deorum Imperator Caesar Vespasianus Augustus pontifex maximus tribunicia potestate VI imperator XIIII pater patriae censor consul VI designatus VII peditibus et equitibus qui militant in cohortibus decem quae appellantur I Antiochensium et I Sugambrorum veterana et I Raetorum et I Lusitanorum et III et IV et V et VII et VIII Gallorum et Cisipadensium et sunt in Moesia sub Sexto Vettuleno Ceriale qui quina et vicena stipendia aut plura meruerant quorum nomina subscripta sunt ipsis liberis posteris que eorum civitatem dedit et conubium cum uxoribus quas tunc habuissent cum est civitas iis data aut si qui caelibes essent cum iis quas postea duxissent dumtaxat singuli singulas ante diem IIII Kalendas Maias Caesare Augusti filio Domitiano III Lucio Pasidieno Firmo consulibus cohortis I Raetoriae cui praeest Caius Quintius Laberius Tutor Sabinianus pediti Herae Serapionis filio Antiochia descriptum et recognitum ex tabula aenea quae fixa est Romae in Capitolio Luci Domiti Luci fili Collina Veri Publi Coeli Quinti fili Falerna Bruti Rufi Quinti Iuli Lentuli Quinti Aquili Cai fili Voltinia Campani Titi Lossi Titi fili Galeria Severi Sexti Lossi Titi fili Galeria Apollinaris Publi Atini Publi fili Velina Augustalis,military diploma,75,NA,Antiochia*,Antiochia,TRUE,912872,Jebel Khayabir/Alexandria?/Antiochia?/Spasinou Charax?/Karkh Maisan?/[Astarabad Ardashir]?,uncertain (another good variant exists),,,nan,POINT (47.561886 30.719479),"Donji Milanovac, bei, Veliki Gradac, Turm 16, bei",Taliata,Majdanpek,POINT (22.1535 44.4629),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,269,"c(47.561886, 22.1535, 30.719479, 44.4629)"
HD005959/2,C. Vetilius C.[f.] Fab. Sedatus Her.,C.,Vetilius,Sedatus,NA,male,50,Fabia,military personnel,NA,NA,HD005959,Fabia L O Caius Vetilius Cai filius Fabia Sedatus Heraclea veteranus legionis VII Claudiae piae fidelis vixit annos L militavit annos XXV hic situs est,epitaph,1,150,Heraclea*,Heraclea,TRUE,844944,Heraclea,certain,,,nan,POINT (31.4174136667 41.2832553333),"Aleksandrovo Brdo, Hügel, Grab, sekundär verwendet",Heraclea Lyncestis,Bitola,POINT (21.3424 41.011),FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,270,"c(31.4174136667, 21.3424, 41.2832553333, 41.011)"
HD006083/1,Octaviae Capitolinae dom. Ael. Capitolina,NA,Octavia,Capitolina,NA,female,32,NA,NA,NA,NA,HD006083,Dis Manibus Octaviae Capitolinae domo Aelia Capitolina castissimae ac pudicissimae coniugi et incomparabili vixit annos XXXII menses V dies IIII et Gaio Iulio Nepotiano equiti Romano filio eius vixit annos II menses XI dies XIIX Iulius Valens centurio legionis VIII Augustae faciendum curavit,epitaph,151,230,domo* Aelia* Capitolina,Aelia Capitolina,FALSE,687928,Ierusalem/Hierosolyma/Col. Aeilia Capitolina,certain,,,nan,POINT (35.234156 31.776679),"Binger Schlag, sekundär verwendet",Mogontiacum,Mainz,POINT (8.2583 50.0003),FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,271,"c(35.234156, 8.2583, 31.776679, 50.0003)"
HD006086/1,Antiochus Antiochi f. Parthus Anazarbaeus,NA,NA,Antiochus,NA,male,NA,NA,military personnel,NA,NA,HD006086,Antiochus Antiochi filius Parthus Anazarbaeus eques alae Parthorum et Araborum evocatus triplicarius stipendiorum X donis donatus Belesippus frater posuit,epitaph,1,50,Parthus Anazarbaeus,Parthus Anazarbaeus,FALSE,658378,Anazarbos/Caesarea/Ioustin(ian)oupolis,wild guess,,,nan,POINT (35.898447 37.256021),"Weisenau, Steinbruch",Mogontiacum,Mainz,POINT (8.3062 49.9763),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,272,"c(35.898447, 8.3062, 37.256021, 49.9763)"
HD006254/1,Bassus civis Arabus Bata.?,NA,NA,Bassus,NA,male,at least 25,NA,NA,NA,NA,HD006254,Bassus bixit annus XXV civis Arabus Bataneus=VOTA Marina vixit,epitaph,351,500,civis Arabus Bataneus*?,Arabus Bataneus,FALSE,678053,Batanaia,uncertain (another good variant exists),,,678054,POINT (35.163397 32.498337),NULL,Roma,Roma,POINT (12.4823 41.8955),FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,274,"c(35.163397, 12.4823, 32.498337, 41.8955)"
HD006267/1,[F]laviae [V]alenti[n]ae Sirm.,NA,Flavia+,Valentina+,NA,female,NA,NA,NA,NA,NA,HD006267,Dis Manibus Flaviae Valentinae Sirmiensi vixit annos XL dies XVII coniugi carissimae et pientissimae et dignissimae ob principium castitatis Maecius Domitius centurio legionis V Macedonicae,epitaph,101,130,Sirmiensi*,Sirmiensis,FALSE,383781,Sirmio,uncertain (another good variant exists),,,https://pleiades.stoa.org/places/207447,POINT (10.60805 45.492485),"Lager, sogenannter justinianischer Turm, bei, Brunnen",Drobeta,Drobeta - Turnu Severin,POINT (22.6676 44.6243),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,275,"c(10.60805, 22.6676, 45.492485, 44.6243)"
HD006297/1,Laudice(!) Syrae Collina Philadelphia,NA,NA,Laudice (= Laodice) Syra,NA,NA,NA,Collina,NA,NA,NA,HD006297,Dis Manibus Laudice Syrae Collina Philadelphia vixit annis XXXC Hera coniugi bene merenti posuit,epitaph,107,150,Philadelphia,Philadelphia,FALSE,737008,Philadelphia,uncertain (another good variant exists),,,https://pleiades.stoa.org/places/550822,POINT (31.08033 29.453786),NULL,Drobeta,Drobeta - Turnu Severin,POINT (22.6602 44.6357),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,276,"c(31.08033, 22.6602, 29.453786, 44.6357)"
HD006310/1,L. Maximius L.f. Voltiniae Gaetulicus Viennae,L.,Maximius,Gaetulicus,NA,male,NA,Voltinia,military personnel,names of pagan deities,NA,HD006310,Pro salute Imperatoris Victoriae Augustae Pantheae sanctissimae Lucius Maximius Luci filius Voltiniae Gaetulicus Viennae quod tiro aput legionem XX Valeriam victricem voveram nunc primus pilus legionis I Italicae stipendiorum LVII votum solveram Marullo et Aeliano consulibus,votive inscription,184,NA,Viennae,Voltinia Vienna,FALSE,128537,Vindobona,uncertain (another good variant exists),,,https://pleiades.stoa.org/places/167719,POINT (16.373946 48.211345),"Lager, Bischofsbasilika",Novae,Svištov,POINT (25.3937 43.6129),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,277,"c(16.373946, 25.3937, 48.211345, 43.6129)"
HD006493/1,[---] natione Brit[anicianus],[-],[---],[---],NA,male,NA,NA,military personnel,NA,NA,HD006493,vixit annos XLVIII militavit annos XX natione Britanicianus eques singularis Augusti F,epitaph,101,200,natione Britanicianus+,Brittania,FALSE,981513,Britannia (Province),certain,,,nan,POINT (-0.088949 51.513335),"SS. Pietro e Marcellino, Katakombe",Roma,Roma,POINT (12.4823 41.8955),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,278,"c(-0.088949, 12.4823, 51.513335, 41.8955)"
HD006522/1,[---]us Ux.,[-],[---],[---]us,NA,NA,NA,NA,NA,NA,NA,HD006522,R C us Uxamensis annorum LXXX hic situs est sit tibi terra levis,epitaph,51,150,Uxamensis*,Uxamensis,FALSE,246721,Uxama (Argaela),certain,,,nan,POINT (-3.0947549 41.5750018),NULL,Baedro,Belalcázar,POINT (-5.1665 38.5757),FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,280,"c(-3.0947549, -5.1665, 41.5750018, 38.5757)"
HD006535/1,C. Sabinius Aelio Moderatus C.f.,C.,Sabinius,Moderatus,NA,male,NA,NA,military personnel,names of pagan deities,NA,HD006535,Iovi Optimo Maximo Caius Sabinius Aelio Moderatus Cai filius beneficiarius consularis legionis II Italicae votum solvit libens merito,votive inscription,171,230,Aelio,Aelio,FALSE,324657,Aelia?,uncertain (name could be interpreted differently),,,nan,POINT (10.437678 35.4232),"Drau, Flußbett, Eisenbahnbrücke, westlich",Santicum,Villach,POINT (13.8416 46.6162),FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,281,"c(10.437678, 13.8416, 35.4232, 46.6162)"
HD006642/1,P. Petillio Q.f. Ga[l.] Colono ex provincia Baetica Tuccitano,P.,Petillius,Colonus,NA,male,NA,Galeria,"lower local offices, administration of imperial estates",NA,NA,HD006642,Publio Petillio Quinti filio Galeria Colono ex provincia Baetica Tuccitano scribae aedilium curulium testamento fieri iussit,epitaph,51,130,ex provincia Baetica Tuccitanus,Baetica Tuccitanus,FALSE,266070,Tucci/Col. Augusta Gemella,uncertain (name could be interpreted differently),,,nan,POINT (-3.966243 37.722761),"Ponte Flaminio, bei",Roma,Roma,POINT (12.4823 41.8955),FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,282,"c(-3.966243, 12.4823, 37.722761, 41.8955)"
HD006719/1,Cl. Nonnae dom. Nic. S[yr.],NA,Claudia*,Nonna,NA,female,22,NA,NA,NA,NA,HD006719,Dis Manibus Claudiae Nonnae annorum XXII domo Nicopoli Syriae Maximus aerarius posuit,epitaph,101,150,domo* Nicopoli* Syriae+*,Nicopolis in Syria,FALSE,658547,Nicopolis,certain,,,nan,POINT (36.6325185 37.0262595),"Flur Bánom, spätantike Nekropole, Grab 279, sekundär verwendet",Solva,Esztergom,POINT (18.7456 47.7997),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,283,"c(36.6325185, 18.7456, 37.0262595, 47.7997)"
HD006780/1,Sex. Gracch[ius] T.f. Pol. Fronto Faventia,Sex.,Gracchius+,Fronto,NA,male,NA,Pollia,military personnel,NA,NA,HD006780,Sextus Gracchius Titi filius Pollia Fronto Faventia miles cohortis IIII praetoriae centuria Galli militavit annos XVII vixit annos XXXVI hic securus requiesquit,epitaph,1,100,Faventia,Faventia,TRUE,393420,Faventia,certain,,,nan,POINT (11.883507 44.286236),NULL,Roma,Roma,POINT (12.4823 41.8955),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,284,"c(11.883507, 12.4823, 44.286236, 41.8955)"
HD006806/4,C. Planc[ius --- domo?] Ancyr.,C.,Plancius+,[---],NA,male,NA,NA,NA,NA,NA,HD006806,Imperatoribus Caessaribus Marco Aurelio Antonino Augusto et Lucio Aurelio Vero Augusto Armeniaco sub Marco Servilio Fabiano legato Auggustorum pro praetore Caius Plancius domo Ancyra Marcus INsteius territorii Troesmensis templum a solo fecerunt veteranis et civibus Romanis consistentibus Troesmi ad legionem V Macedonicam,building/dedicatory inscription,163,NA,domo+? Ancyra*,Ancyra,TRUE,619103,Ancyra,certain,,,nan,POINT (32.859333 39.9437925),NULL,Troesmis,"Turcoaia, bei",POINT (28.1833 45.1167),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,285,"c(32.859333, 28.1833, 39.9437925, 45.1167)"
HD006830/1,[V]al. Firmo domo Nicia(!),NA,Valerius+*,Firmus,NA,male,60,NA,military personnel,NA,NA,HD006830,Dis Manibus Valerio Firmo veterano legionis V Macedonicae ex custode armorum domo Nicia vixit annos LX Decuria Procula coniux et Valerii Firminus et Firmianus filii posuerunt,epitaph,101,200,domo Nicia (= Nicaea),Nicaea,TRUE,157894,Nicaea,certain,,,nan,POINT (7.266233 43.703436),"westliche Festung, nördliche Kurtine, sekundär verwendet",Troesmis,Turcoaia,POINT (28.1854 45.1449),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,286,"c(7.266233, 28.1854, 43.703436, 45.1449)"
HD006867/1,M. Helvio M.f. Serg. Rufo Patriciensi,M.,Helvius,Rufus,NA,male,NA,Sergia,"decurial order, higher local offices","cult functions, pagan",NA,HD006867,Marco Helvio Marci filio Sergia Rufo Patriciensi flamini divorum Augustorum provinciae Baeticae colonia Patricia decreto splendidissimi ordinis Rufus accepto honori impensam remisit,honorific inscription,171,230,Patriciensis,Patriciensis,FALSE,256128,Corduba/col. Patricia,certain,,,nan,POINT (-4.779171 37.884683),Camino Conde de Robledo 6,Corduba,Córdoba,POINT (-4.7667 37.8833),FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,287,"c(-4.779171, -4.7667, 37.884683, 37.8833)"
HD006908/1,Q. Marcius Quadratus nat. Lib.,Q.,Marcius,Quadratus,NA,NA,NA,NA,NA,NA,NA,HD006908,Quintus Marcius Quadratus natione Libycus vixit annos LXXXV Quintus Marcius Provincialis filius faciendum curavit,epitaph,101,200,natione* Libycus*?,Libycus,FALSE,716588,Libya,certain,,,nan,POINT (26.5 31.5),"Slava Rusă, spätantike Festung",Ibida,Slava Cercheză,POINT (28.5905 44.8543),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,288,"c(26.5, 28.5905, 31.5, 44.8543)"
HD007148/1,[---] T.f. Vitulo [---] Iuliensi,[-],[---],Vitulus,NA,male,NA,NA,NA,NA,NA,HD007148,Titi filio Vitulo Iuliensi annorum ae Marci filiae Marcellae annorum XXXV Vitulo filio annorum XX us libertus ex testamento fecit,epitaph,51,100,Iuliensis,Iuliensis,FALSE,256232,(I)Tucci,wild guess,,,https://pleiades.stoa.org/places/550707,POINT (-6.363638 37.44811),San Salvador,Saguntum,Sagunto,POINT (-0.2667 39.6833),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,289,"c(-6.363638, -0.2667, 37.44811, 39.6833)"
HD007166/1,[---]asius M.f. [Hil?]arus Galle[c.?],[-],[---]asius,Hilarus+?,NA,male,NA,NA,NA,NA,NA,HD007166,asius Marci filius Hilarus Gallecus sibi et Cuspiae Spuri filiae Secundae concubinae,epitaph,1,100,Gallecus+*?,Gallecus,FALSE,992075,Galliae,wild guess,,,nan,POINT (-2.5 47.5),S. Viola,Bononia,Bologna,POINT (11.3465 44.4942),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,291,"c(-2.5, 11.3465, 47.5, 44.4942)"
HD007243/1,G. Licinio Agrino Osq.,C.,Licinius,Agrinus,NA,male,NA,NA,NA,NA,NA,HD007243,Gaio Licinio Agrino Osquensi Gaius Licinius Agrippinus pater statuam dato epulo dedit dedicavit,honorific inscription,151,250,Osquensis*,Osquensis,FALSE,265805,Ascua/Osqua,certain,,,nan,POINT (-4.540804 36.88614),Cerro de León,Osqua,"Villanueva de la Concepción, bei",POINT (-4.5408 36.8861),FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,292,"c(-4.540804, -4.5408, 36.88614, 36.8861)"
HD007251/1,Sex. Iulius Sex. Serg. Quintilus Anti.,Sex.,Iulius,Quintilus,NA,male,40,Sergia,military personnel,NA,NA,HD007251,Sextus Iulius Sexti Sergia Quintilus Antiochia miles legionis XV Apollinaris centuria Messi Secundi stipendiorum XXI annorum XL hic situs est heres faciendum curavit,epitaph,84,87,Antiochia*?,Antiochia,TRUE,912872,Jebel Khayabir/Alexandria?/Antiochia?/Spasinou Charax?/Karkh Maisan?/[Astarabad Ardashir]?,uncertain (another good variant exists),,,nan,POINT (47.561886 30.719479),Gräberstraße,Carnuntum,Petronell-Carnuntum,POINT (16.8782 48.1112),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,293,"c(47.561886, 16.8782, 30.719479, 48.1112)"
HD007403/1,Pardus nat. Aegyptus,NA,NA,Pardus,NA,male,NA,NA,NA,NA,NA,HD007403,Pardus hastarius veteranus natione Aegyptus pugnarum VIIII,epitaph,1,300,natione* Aegyptus,Aegyptus,FALSE,766,Aegyptus (Roman imperial province),certain,,,nan,POINT (29.909773 31.201435),NULL,Roma,Roma,POINT (12.4823 41.8955),FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,294,"c(29.909773, 12.4823, 31.201435, 41.8955)"
HD007409/1,Ypatius Galata,NA,NA,Hypatius*,NA,male,NA,NA,NA,"cult functions, Jewish/Christian",NA,HD007409,Hic requiescet in pace sanctae memoriae Hypatius Galata praesbyter amicus bonorum sanctae aecclesiae catholicae Ravennatis,epitaph,451,500,Galata,Galata,TRUE,216814,Galata,certain,,,nan,POINT (27.938903 43.170087),NULL,Roma,Roma,POINT (12.4823 41.8955),FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,295,"c(27.938903, 12.4823, 43.170087, 41.8955)"
HD007536/2,[---]us fili Ulienses,[-],[---],[---],NA,NA,NA,NA,NA,NA,NA,HD007536,us fili Ulienses marmoream ex argenti pondo C I,votive inscription,101,200,Uliensis,Uliensis,FALSE,256499,Ulia (Fidentia),uncertain (name could be interpreted differently),,,nan,POINT (-4.698889 37.648657),Doshermanas,Ulia Fidentia,"Montemayor, bei",POINT (-4.6989 37.6487),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,296,"c(-4.698889, -4.6989, 37.648657, 37.6487)"
HD007554/1,Doidero Arcaun Boderi f. Vad.,NA,Arcaun,Doidero,NA,male,30,NA,NA,NA,NA,HD007554,Dis Manibus Doidero Arcaun Boderi filio Vadiniensi annorum XXX Turanio Bodoecun amico suo posuit hic situs est,epitaph,51,200,Vadiniensi,Vadiniensis,FALSE,236707,Vadinienses,certain,,,nan,POINT (-5.06492560981 43.0848911232),Velilla de Valdoré,NULL,Crémenes,POINT (-5.1437 42.9036),FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,297,"c(-5.06492560981, -5.1437, 43.0848911232, 42.9036)"
HD007778/1,P. Egnatius P.f. Poll. Martialis Lepido Regio,P.,Egnatius,Martialis,NA,male,NA,Pollia,military personnel,NA,NA,HD007778,Publius Egnatius Publi filius Pollia Martialis Lepido Regio miles cohortis V praetoriae centuria Acuti militavit annos XV vixit annos XXXVII Caius Memmius Secundus miles cohortis V praetoriae commanupularis pius amico bene merenti posuit,epitaph,71,130,Lepido Regio,Lepido Regio,FALSE,383755,Regium Lepidum,certain,,,nan,POINT (10.630721 44.698137),Tor di Quinto,Roma,Roma,POINT (12.4823 41.8955),FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,298,"c(10.630721, 12.4823, 44.698137, 41.8955)"
HD007914/1,[L. Aurelio L.l. Victori domo Aequo],L.+,Aurelius+,Victor+,NA,male,NA,NA,"decurial order, higher local offices; Augustales","cult functions, pagan",NA,HD007914,Luci Aurelio Luci liberto Victori domo Aequo Augustali et Seniae sacerdoti primo corporis Augustalium ornato ornamenis decurionalibus plebs Seniensium aere conlato curante Aurelio Secundo,honorific inscription,171,300,domo+ Aequo+,Aequo,FALSE,197095,Aequum,certain,,,nan,POINT (16.655704 43.739278),"S. Kuzma i Damjan, Kirche",Senia,Senj,POINT (14.9009 44.9906),FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,299,"c(16.655704, 14.9009, 43.739278, 44.9906)"
HD007917/3,Aemilio Calvioni Salon.,NA,Aemilius,Calvio,NA,male,at least 61,NA,NA,NA,NA,HD007917,Dis Manibus sacrum Aemilii Antonius et Antoninus Aemilio Calvioni defuncto Salonis annorum LXI,NULL,171,200,Salonis*,Salona,FALSE,197488,Salona,certain,,,nan,POINT (16.483426 43.539561),Komini,Municipium S[---],Pljevlja,POINT (19.32 43.3422),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,300,"c(16.483426, 19.32, 43.539561, 43.3422)"
HD007944/1,L. Antonio col. CARAS Valenti,L.,Antonius,Valens,NA,male,NA,NA,NA,NA,NA,HD007944,Dis Manibus Lucio Antonio colonia CARAS Valenti veterano legionis XIII geminae C agraria missione HO T A in ALIPIA Antonio Fortunato IIIAN TI hoc monumentum heredem non sequetur,epitaph,151,200,colonia*? CARAS,colonia CARAS,FALSE,246290,Carasa,wild guess,,,https://pleiades.stoa.org/places/216750,POINT (-1.061139 43.341945),"Rabelčja vas, Jugendherberge",Poetovio,Ptuj,POINT (15.8705 46.4278),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,301,"c(-1.061139, 15.8705, 43.341945, 46.4278)"
HD008142/1,Q. Servili<u=X>s Q.f. Pat. Ruf. Lepci Mag.,Q.,Servilius,Rufus*,NA,male,28,Palatina,military personnel,NA,NA,HD008142,Dis Manibus Quintus Servilius Quinti filius Palatina Rufus Lepci Magna vixit annis XXVIII militavit annis IV Caius Iulius Rogatus heres eius Quintus Caecilius Martialis miles legionis III Cyirenaicae centuriae Anti Vibiani vixit annis XXXV militavit annis XIII curam egit Gaius Maesius Demetrius legionis eiusdem centuriae eiusdem heres eius hic situs est,epitaph,65,NA,Lepci Magna*,Leptis Magna,FALSE,344448,Neapolis/Lepcis Magna,certain,,,nan,POINT (14.291378 32.6379575),NULL,Alexandria,Alexandria,POINT (29.865 31.1847),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,302,"c(14.291378, 29.865, 32.6379575, 31.1847)"
HD008146/1,C. Iulio Clau. Pudenti Emona(?),C.,Iulius,Pudens,NA,male,50,Claudia,military personnel,NA,NA,HD008146,Dis Manibus Caio Iulio Claudia Pudenti Emona veterano legionis X geminae piae fidelis annorum L et Iulio Iunio filio eius ossa hoc loco sepulta heres faciendum curavit,epitaph,96,104,Emona?,Emona,TRUE,197258,Emona,certain,,,nan,POINT (14.505963 46.051425),"Valkhof, S. Nicolaaskapel, vermauert",Ulpia Noviomagus Batavorum,Nijmegen,POINT (5.8697 51.8481),FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,303,"c(14.505963, 5.8697, 46.051425, 51.8481)"
HD008149/1,M. Scanius M. Vol. Maximus Amp.,M.,Scanius,Maximus,NA,male,NA,Voltinia,military personnel,NA,NA,HD008149,Marcus Scanius Marci Voltinia Maximus Amphipoli miles legionis X geminae piae fidelis A VILI,epitaph,96,104,Amphipoli*?,Amphipolis,FALSE,501347,Amphipolis,certain,,,nan,POINT (23.8415794323 40.8258114808),NULL,Ulpia Noviomagus Batavorum,Nijmegen,POINT (5.8372 51.8126),FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,304,"c(23.8415794323, 5.8372, 40.8258114808, 51.8126)"
HD008182/1,C. Albucius C.f. Cla. Firmus Apro,C.,Albucius,Firmus,NA,male,NA,Claudia,military personnel,NA,NA,HD008182,Caius Albucius Cai filius Claudia Firmus Apro miles legionis I adiutricis annorum stipendiorum IX hic situs est heres faciendum curavit,epitaph,51,100,Apro,Apros,FALSE,501326,Ad Duodecimum,uncertain (another good variant exists),,,507367,POINT (24.25 41.25),Weichselstraße 60,Mogontiacum,Mainz,POINT (8.2575 49.9889),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,305,"c(24.25, 8.2575, 41.25, 49.9889)"
HD008185/1,C. He[ius C.?f.] Qui[r. Ma]nsu[etus] Arc[ob.],C.,Heius+,Mansuetus+,NA,male,26,Quirina+,military personnel,NA,NA,HD008185,Caius Heius Cai filius Quirina Mansuetus Arcobriga miles legionis I adiutricis annorum XXVI stipendiorum VII hic situs est testamento fieri iussit heres faciendum curavit,epitaph,80,85,Arcobriga+*,Arcobriga,TRUE,246183,Arcobriga,certain,,,nan,POINT (-2.13807695147 41.2959278328),"Grebenstraße 8 (Arnsburger Hof), S. Bernhard, Kapelle, sekundär verwendet",Mogontiacum,Mainz,POINT (8.2747 49.9977),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,306,"c(-2.13807695147, 8.2747, 41.2959278328, 49.9977)"
HD008218/1,Pac. Montanae R.,NA,Paconia*,Montana,NA,female,35,NA,NA,NA,NA,HD008218,Dis Manibus sacrum Paconiae Montanae Risiniensi quae vixit annos XXXV Aurelia Panto G mater filiae dulcissimae et sibi vivae infelicissimae posuit,epitaph,151,300,Risiniensis*?,Risiniensis,FALSE,197471,Rhizon/Risinium,certain,,,nan,POINT (18.694988 42.514718),"Komini, bei, Nekropole",Municipium S[---],Pljevlja,POINT (19.321 43.3422),FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,307,"c(18.694988, 19.321, 42.514718, 43.3422)"
HD008242/1,Esdrius Stai f. domo Brixia Fab.,NA,NA,Esdrius,NA,male,NA,Fabia,military personnel,NA,NA,HD008242,Esdrius Stai filius domo Brixia Fabia tubicen cohortis I Montanorum annorum XXXV stipendiorum XIIII hic situs est Verdavi duo cognati posuerunt,epitaph,71,100,domo Brixia,Brixia,TRUE,383603,Brixia,certain,,,nan,POINT (10.223135 45.539773),NULL,Carnuntum,Bad Deutsch-Altenburg / Petronell-Carnuntum,POINT (16.8888 48.1181),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,309,"c(10.223135, 16.8888, 45.539773, 48.1181)"
HD008266/1,Iuliae Secundinae Q. Iuli Secundi filiae do. municipi. A[---]C.,NA,Iulia,Secundina,NA,female,40,NA,NA,NA,NA,HD008266,Dis Manibus Iuliae Secundinae Quinti Iuli Secundi filiae domo municipio A C annorum XL Aurelius Victor veteranus legionis II adiutricis ex stratore consularis coniugi karissimae faciendum curavit,epitaph,201,250,domo* municipio* A[---]C(---),municipio A[---]C(---),FALSE,315084,Municipium Aurelium Commodianum/Thibiuca?,wild guess,,,nan,POINT (9.884781 36.532162),"Óbuda, Bécsi út 166, Nekropole",Aquincum,Budapest,POINT (19.0287 47.5486),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,310,"c(9.884781, 19.0287, 36.532162, 47.5486)"
HD008446/1,[--- M]aximian[us] Volsinis,[-],[---],Maximianus,NA,male,NA,NA,military personnel,NA,NA,HD008446,Maximianus Volsinis centurio legionis II Augustae praepositus numeri civium Romanorum votum libens solvit,votive inscription,201,300,Volsinis,Volsinis,FALSE,413389,Volsinii,certain,,,nan,POINT (11.9851699 42.6482181),Heiligtum der Diana und des Apoll,Municipium Montanensium,Montana (Mihajlovgrad),POINT (23.2203 43.4011),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,311,"c(11.9851699, 23.2203, 42.6482181, 43.4011)"
